Potential applied (V)	WE(1).Current (A)	V vs. RHE	j
		V	mA/cm\+(2)
-0.8905029296875	-2.1173095703125E-5	0.135733751220703	-0.186711602320326
-0.8929443359375	-2.12738037109375E-5	0.133293090209961	-0.187599679990631
-0.8953857421875	-2.14874267578125E-5	0.130853264770508	-0.189483481109458
-0.8978271484375	-2.15362548828125E-5	0.128412219848633	-0.189914064222332
-0.9002685546875	-2.16583251953125E-5	0.125971716918945	-0.190990522004519
-0.9027099609375	-2.1710205078125E-5	0.123530694580078	-0.191448016561949
-0.9051513671875	-2.20184326171875E-5	0.121091569213867	-0.194166072461971
-0.9075927734375	-2.20611572265625E-5	0.118650479125976	-0.194542832685736
-0.9100341796875	-2.2137451171875E-5	0.116209637451172	-0.195215618799603
-0.9124755859375	-2.22625732421875E-5	0.113769157104492	-0.196318988026345
-0.9149169921875	-2.236328125E-5	0.11132849609375	-0.197207065696649
-0.9173583984375	-2.2509765625E-5	0.108888173828125	-0.198498815035273
-0.9197998046875	-2.2650146484375E-5	0.106447806396484	-0.199736741484788
-0.9222412109375	-2.2698974609375E-5	0.104006761474609	-0.200167324597663
-0.9246826171875	-2.29461669921875E-5	0.101567184448242	-0.202347151606592
-0.9271240234375	-2.28912353515625E-5	0.0991253717041014	-0.201862745604608
-0.9295654296875	-2.30804443359375E-5	0.0966853656005858	-0.203531255166997
-0.9320068359375	-2.31292724609375E-5	0.0942443206787108	-0.203961838279872
-0.9344482421875	-2.32177734375E-5	0.0918035693359374	-0.204742270171958
-0.9368896484375	-2.3291015625E-5	0.0893627050781248	-0.20538814484127
-0.9393310546875	-2.3516845703125E-5	0.086922969970703	-0.207379591738316
-0.9417724609375	-2.3651123046875E-5	0.0844825573730468	-0.208563695298721
-0.9442138671875	-2.3809814453125E-5	0.082042325439453	-0.209963090415564
-0.9466552734375	-2.38983154296875E-5	0.0796015740966796	-0.21074352230765
-0.9490966796875	-2.4005126953125E-5	0.077160958251953	-0.211685422867063
-0.9515380859375	-2.40875244140625E-5	0.074720161743164	-0.21241203187004
-0.9539794921875	-2.42523193359375E-5	0.0722799749755858	-0.213865249875992
-0.9564208984375	-2.425537109375E-5	0.0698385913085936	-0.213892161320547
-0.9588623046875	-2.42919921875E-5	0.0673974560546874	-0.214215098655203
-0.9613037109375	-2.44903564453125E-5	0.0649575177001952	-0.215964342551257
-0.9637451171875	-2.4554443359375E-5	0.0625165856933593	-0.216529482886905
-0.9661865234375	-2.46337890625E-5	0.0600757666015623	-0.217229180445326
-0.9686279296875	-2.476806640625E-5	0.0576353540039062	-0.218413284005732
-0.9710693359375	-2.493896484375E-5	0.0551952124023436	-0.219920324900794
-0.9735107421875	-2.49725341796875E-5	0.0527540545654296	-0.220216350790895
-0.9759521484375	-2.50946044921875E-5	0.050313551635742	-0.221292808573082
-0.9783935546875	-2.51678466796875E-5	0.0478726873779296	-0.221938683242394
-0.9808349609375	-2.528076171875E-5	0.0454321166992186	-0.222934406690917
-0.9832763671875	-2.535400390625E-5	0.0429912524414061	-0.223580281360229
-0.9857177734375	-2.54486083984375E-5	0.0405505462646483	-0.224414536141424
-0.9881591796875	-2.55096435546875E-5	0.0381095916748045	-0.224952765032518
-0.9906005859375	-2.5689697265625E-5	0.0356695178222655	-0.226540540261243
-0.9930419921875	-2.567138671875E-5	0.0332279760742187	-0.226379071593915
-0.9954833984375	-2.57568359375E-5	0.0307872021484373	-0.227132592041446
-0.9979248046875	-2.58819580078125E-5	0.0283467218017577	-0.228235961268188
-1.0003662109375	-2.59979248046875E-5	0.0259061737060546	-0.229258596161265
-1.0028076171875	-2.6043701171875E-5	0.0234651062011717	-0.229662267829586
