Potential (V),Current (A)
0.707855224609375,0.00062933349609375
0.710296630859375,0.00066070556640625
0.712738037109375,0.00069305419921875
0.715179443359375,0.0007257080078125
0.717620849609375,0.0007598876953125
0.720062255859375,0.0007940673828125
0.722503662109375,0.0008294677734375
0.724945068359375,0.0008660888671875
0.727386474609375,0.00090301513671875
0.729827880859375,0.0009417724609375
0.732269287109375,0.0009808349609375
0.734710693359375,0.00102020263671875
0.737152099609375,0.001060791015625
0.739593505859375,0.001102294921875
0.742034912109375,0.00114471435546875
0.744476318359375,0.001187744140625
0.746917724609375,0.001231689453125
0.749359130859375,0.0012762451171875
0.751800537109375,0.00132232666015625
0.754241943359375,0.00136688232421875
0.756683349609375,0.00141448974609375
0.759124755859375,0.00146209716796875
0.761566162109375,0.0015093994140625
0.764007568359375,0.00155731201171875
0.766448974609375,0.0016064453125
0.768890380859375,0.001654052734375
0.771331787109375,0.0017059326171875
0.773773193359375,0.00175567626953125
0.776214599609375,0.00180572509765625
0.778656005859375,0.0018572998046875
0.781097412109375,0.0019091796875
0.783538818359375,0.001961669921875
0.785980224609375,0.00201324462890625
0.788421630859375,0.00206634521484375
0.790863037109375,0.00212066650390625
0.793304443359375,0.00217315673828125
0.795745849609375,0.0022265625
0.798187255859375,0.0022808837890625
0.800628662109375,0.00233245849609375
0.798187255859375,0.00225921630859375
0.795745849609375,0.00218536376953125
0.793304443359375,0.0021136474609375
0.790863037109375,0.00204498291015625
0.788421630859375,0.0019781494140625
0.785980224609375,0.00191253662109375
0.783538818359375,0.00184906005859375
0.781097412109375,0.00178741455078125
0.778656005859375,0.00172760009765625
0.776214599609375,0.00166900634765625
0.773773193359375,0.0016131591796875
0.771331787109375,0.001558837890625
0.768890380859375,0.001505126953125
0.766448974609375,0.00145263671875
0.764007568359375,0.00140228271484375
0.761566162109375,0.001353759765625
0.759124755859375,0.00130615234375
0.756683349609375,0.00126007080078125
0.754241943359375,0.001214599609375
0.751800537109375,0.00117095947265625
0.749359130859375,0.0011285400390625
0.746917724609375,0.0010870361328125
0.744476318359375,0.00104644775390625
0.742034912109375,0.00100738525390625
0.739593505859375,0.00096954345703125
0.737152099609375,0.0009326171875
0.734710693359375,0.0008966064453125
0.732269287109375,0.00086273193359375
0.729827880859375,0.000828857421875
0.727386474609375,0.0007958984375
0.724945068359375,0.00076446533203125
0.722503662109375,0.0007342529296875
0.720062255859375,0.00070465087890625
0.717620849609375,0.00067596435546875
0.715179443359375,0.00064788818359375
0.712738037109375,0.00062103271484375
0.710296630859375,0.0005950927734375
0.707855224609375,0.00056976318359375
0.705413818359375,0.00054534912109375
0.702972412109375,0.00052154541015625
0.700531005859375,0.0004986572265625
0.698089599609375,0.00047662353515625
0.695648193359375,0.000455322265625
0.693206787109375,0.00043505859375
0.690765380859375,0.000415252685546875
0.688323974609375,0.00039569091796875
0.685882568359375,0.00037725830078125
0.683441162109375,0.0003597412109375
0.680999755859375,0.000342559814453125
0.678558349609375,0.0003260498046875
