Potential (V),Current (A)
0.522308349609375,5.4364013671875e-06
0.524749755859375,5.5743408203125e-06
0.527191162109375,5.71533203125e-06
0.529632568359375,5.86944580078125e-06
0.532073974609375,6.04156494140625e-06
0.534515380859375,6.243896484375e-06
0.536956787109375,6.4453125e-06
0.539398193359375,6.6650390625e-06
0.541839599609375,6.9183349609375e-06
0.544281005859375,7.1868896484375e-06
0.546722412109375,7.4951171875e-06
0.549163818359375,7.82470703125e-06
0.551605224609375,8.19091796875e-06
0.554046630859375,8.5845947265625e-06
0.556488037109375,9.02099609375e-06
0.558929443359375,9.4970703125e-06
0.561370849609375,1.00311279296875e-05
0.563812255859375,1.05987548828125e-05
0.566253662109375,1.12213134765625e-05
0.568695068359375,1.18927001953125e-05
0.571136474609375,1.2646484375e-05
0.573577880859375,1.3482666015625e-05
0.576019287109375,1.4385986328125e-05
0.578460693359375,1.5350341796875e-05
0.580902099609375,1.64306640625e-05
0.583343505859375,1.76116943359375e-05
0.585784912109375,1.8902587890625e-05
0.588226318359375,2.0318603515625e-05
0.590667724609375,2.1868896484375e-05
0.593109130859375,2.3553466796875e-05
0.595550537109375,2.5390625e-05
0.597991943359375,2.7374267578125e-05
0.600433349609375,2.9559326171875e-05
0.602874755859375,3.19244384765625e-05
0.605316162109375,3.4527587890625e-05
0.607757568359375,3.72833251953125e-05
0.610198974609375,4.03594970703125e-05
0.612640380859375,4.37591552734375e-05
0.615081787109375,4.7412109375e-05
0.617523193359375,5.1300048828125e-05
0.619964599609375,5.56060791015625e-05
0.622406005859375,6.02996826171875e-05
0.624847412109375,6.536865234375e-05
0.627288818359375,7.09228515625e-05
0.629730224609375,7.6934814453125e-05
0.632171630859375,8.3404541015625e-05
0.634613037109375,9.033203125e-05
0.637054443359375,9.783935546875e-05
0.639495849609375,0.00010589599609375
0.641937255859375,0.000114532470703125
0.644378662109375,0.000123779296875
0.646820068359375,0.000133453369140625
0.649261474609375,0.00014398193359375
0.651702880859375,0.00015521240234375
0.654144287109375,0.0001671142578125
0.656585693359375,0.00017938232421875
0.659027099609375,0.000192657470703125
0.661468505859375,0.000205291748046875
0.663909912109375,0.0002198486328125
0.666351318359375,0.00023577880859375
0.668792724609375,0.000252197265625
0.671234130859375,0.000269195556640625
0.673675537109375,0.0002869873046875
0.676116943359375,0.000305572509765625
